,project,all,Strategy_1,Strategy_2,Strategy_3,Strategy_4,s1_prec,s2_prec,s3_prec,s4_prec
0,org.alloytools.alloy,1,1,1,1,1,1.0,1.0,1.0,1.0
1,qpython,1,1,1,1,1,1.0,1.0,1.0,1.0
2,friendlychat-android,1,1,1,1,1,1.0,1.0,1.0,1.0
3,paho.mqtt.android,1,1,1,1,1,1.0,1.0,1.0,1.0
4,paho.mqtt.java,1,1,1,1,1,1.0,1.0,1.0,1.0
5,android-docs-samples,1,1,1,1,1,1.0,1.0,1.0,1.0
6,Toasty,1,1,1,1,1,1.0,1.0,1.0,1.0
7,android-mvvm-architecture,1,1,1,1,1,1.0,1.0,1.0,1.0
8,recipes-rss,1,1,1,1,1,1.0,1.0,1.0,1.0
9,HoloGraphLibrary,1,1,1,1,1,1.0,1.0,1.0,1.0
10,HorizontalWheelView,1,1,1,1,1,1.0,1.0,1.0,1.0
11,OpenMemories-Tweak,1,1,1,1,1,1.0,1.0,1.0,1.0
12,HoldingButton,1,1,1,1,1,1.0,1.0,1.0,1.0
13,ExpandableLayout,1,1,1,1,1,1.0,1.0,1.0,1.0
14,RecyclerView-MultipleViewTypesAdapter,1,1,1,1,1,1.0,1.0,1.0,1.0
15,UpdateApp,1,1,1,1,1,1.0,1.0,1.0,1.0
16,activate-power-mode,1,1,1,1,1,1.0,1.0,1.0,1.0
17,JDAddressSelector,1,1,1,1,1,1.0,1.0,1.0,1.0
18,android-ago,2,2,2,2,2,1.0,1.0,1.0,1.0
19,cordova-plugin-streaming-media,2,2,2,2,2,1.0,1.0,1.0,1.0
20,birt,2,2,2,2,2,1.0,1.0,1.0,1.0
21,arquillian-examples,2,2,2,2,2,1.0,1.0,1.0,1.0
22,dex-method-counts,2,2,2,2,2,1.0,1.0,1.0,1.0
23,google-authenticator-android,2,2,2,2,2,1.0,1.0,1.0,1.0
24,android-samples,2,2,2,2,2,1.0,1.0,1.0,1.0
25,PLDroidMediaStreaming,2,2,2,2,2,1.0,1.0,1.0,1.0
26,hacktoberfest-2019,2,2,2,2,2,1.0,1.0,1.0,1.0
27,egit-github,2,2,2,2,2,1.0,1.0,1.0,1.0
28,Hello-World,2,2,2,2,2,1.0,1.0,1.0,1.0
29,API-NG-sample-code,2,2,2,2,2,1.0,1.0,1.0,1.0
30,openshift-quickstarts,2,2,2,2,2,1.0,1.0,1.0,1.0
31,http-request,2,2,2,2,2,1.0,1.0,1.0,1.0
32,NumberProgressBar,2,2,2,2,2,1.0,1.0,1.0,1.0
33,eclipse.jdt.ls,2,2,2,2,2,1.0,1.0,1.0,1.0
34,portfolio,2,2,2,2,2,1.0,1.0,1.0,1.0
35,DataSphereStudio,2,2,2,2,2,1.0,1.0,1.0,1.0
36,mapstruct-examples,2,2,2,2,2,1.0,1.0,1.0,1.0
37,amazon-kinesis-connectors,2,2,2,2,2,1.0,1.0,1.0,1.0
38,Android-ExpandIcon,2,2,2,2,2,1.0,1.0,1.0,1.0
39,MyLittleCanvas,2,2,2,2,2,1.0,1.0,1.0,1.0
40,Dachshund-Tab-Layout,2,2,2,2,2,1.0,1.0,1.0,1.0
41,Pix-EzViewer,2,2,2,2,2,1.0,1.0,1.0,1.0
42,FastScroll,2,2,2,2,2,1.0,1.0,1.0,1.0
43,recyclerviewhelper,2,2,2,2,2,1.0,1.0,1.0,1.0
44,MaterialFavoriteButton,2,2,2,2,2,1.0,1.0,1.0,1.0
45,MaterialPreferenceLibrary,2,2,2,2,2,1.0,1.0,1.0,1.0
46,CircleSeekbar,2,2,2,2,2,1.0,1.0,1.0,1.0
47,TaskScheduler,2,2,2,2,2,1.0,1.0,1.0,1.0
48,TextLayoutBuilder,2,2,2,2,2,1.0,1.0,1.0,1.0
49,BubbleView,2,2,2,2,2,1.0,1.0,1.0,1.0
50,Mappedbus,2,2,2,2,2,1.0,1.0,1.0,1.0
51,project-rome,3,3,3,3,3,1.0,1.0,1.0,1.0
52,sbt-android,3,3,3,3,3,1.0,1.0,1.0,1.0
53,openhab-core,3,3,3,3,3,1.0,1.0,1.0,1.0
54,ReLinker,3,3,3,3,3,1.0,1.0,1.0,1.0
55,Moss,3,3,3,3,3,1.0,1.0,1.0,1.0
