,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,file_la,file_ld,file_lt,file_age,file_ddev,file_nuc,own,minor,file_ndev,file_ncomm,file_adev,file_nadev,file_avg_nddev,file_avg_nadev,file_avg_ncomm,file_ns,file_exp,file_sexp,file_rexp,file_nd,file_sctr,project,quantile
0.75,3.0,3.0,3.0,2.0,19.75,1.0,16.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,13.0,5.75,13.0,13.0,0.0,1.0,0.0,12.75,289.25,36.75,242.0,70.75,147.75,13.75,108.25,162.0,59.0,106.25,13.0,13.0,16.0,8.0,2.0,3.75,84.75,79.0,0.06,35.5,35.5,40.5,20.0,74.05504253698976,53.76135914207106,297.9852192362637,44.33943768420759,5.0,24.75,0.9150828129242465,1.0,7.33567914235605,17.696164985532892,24.75,17.79012229392925,6.120140333114355,13.904307280525403,13.906515892425933,1.0,49.75,41.75,1.702236473924144,1.0,0.0,environment-dashboard,0.75
0.75,2.0,2.0,2.0,1.0,12.0,0.0,10.0,0.0,2.0,13.0,13.0,0.0,1.0,0.0,8.0,3.0,10.0,19.0,0.0,2.0,0.0,7.0,119.0,18.0,93.0,29.0,56.0,6.0,46.0,68.0,28.0,39.0,5.0,5.0,6.0,3.0,2.0,2.0,65.0,54.0,0.09,18.0,18.0,19.0,12.0,23.300410192316463,5.0,152.42954884883346,289.77651429790535,2.12465487090819,5.052547289262462,0.9482277463990941,0.2580922658374204,125.09656253035214,434.6812194932535,5.117458033948742,434.6812580684124,0.4044695729483202,1.6591028701538821,1.6591069045901703,1.0,6902.936500905778,6598.193232843734,1.000720315864806,1.0,-0.0033704103914114127,plantuml,0.75
0.75,3.0,2.0,3.0,1.0,17.75,1.0,13.75,1.0,1.75,5.0,5.0,0.0,0.75,0.0,10.0,5.0,10.0,17.0,0.0,0.0,0.0,9.0,151.0,23.0,112.75,34.75,73.0,15.75,62.0,88.0,34.75,50.75,7.0,7.0,10.0,3.0,2.0,3.0,76.0,75.0,0.1875,23.0,23.0,27.0,12.0,8.0,11.602112687509678,174.05713621079965,101.75682954371209,1.6503920360374824,3.777920902330026,0.9539998139806249,0.7301140405039133,42.79627557881679,74.08489657510303,3.601910212050462,74.08497736655846,2.6166066898479516,4.6866068388918665,4.6866084280735,1.0,78.04394906325112,68.43673094682222,1.0437406032560212,1.0,-0.10679232431303282,egads,0.75
0.75,5.0,5.0,5.0,1.0,34.0,5.0,28.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,7.0,10.0,8.0,18.0,1.0,4.0,1.0,3.0,258.0,39.0,186.0,61.0,101.0,37.0,70.0,102.0,28.0,69.0,6.0,6.0,7.0,1.0,3.0,3.0,91.0,82.0,0.3,31.0,31.0,35.0,8.0,28.0,6.492729833767598,310.0,114.30027179822761,3.0,6.0,1.0145129939548712,1.979946508140956,3.9599904831902055,5.391692034985235,5.947343303808566,5.407252340097957,2.0,8.374448081283724,8.362229327308128,1.0,16.7015863391845,11.910293901166314,1.034634191084049,1.0,-0.3400527034654723,dockerfile-maven,0.75
0.75,2.0,2.0,2.0,1.0,12.0,0.0,10.0,0.0,1.0,4.0,4.0,0.0,0.0,1.0,11.0,5.0,11.0,11.0,0.0,2.0,0.0,8.0,122.0,26.0,88.0,26.0,43.0,21.0,37.0,60.0,26.0,34.0,5.0,5.0,7.0,3.0,2.0,3.0,74.0,68.0,0.45,18.0,18.0,21.0,11.0,15.0,34.39598189330552,167.74289701344765,9.82786832068372,1.082694343310227,2.602102027623639,1.0,0.08269885040312447,10.0,18.54127700358807,3.0,18.541256766091973,0.6201638413646848,1.2174745461283096,1.2174898934361087,1.0,273.50299593449125,104.84787235764747,20.04904530918759,1.0,-0.10289351713068265,android-pdfview,0.75
0.75,1.0,1.0,1.0,1.0,12.0,0.0,8.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,7.0,3.0,7.0,8.0,0.0,0.0,0.0,5.0,122.0,16.0,85.0,27.0,48.0,16.0,40.0,56.0,23.0,31.0,3.0,3.0,3.0,1.0,2.0,1.0,57.0,46.0,0.45,11.0,11.0,11.0,7.0,35.64958911621188,10.172286709749375,123.63978021931736,37.64637911417869,2.4280803110357683,2.6438102159671812,1.0,0.4866940962335471,7.5738362035884945,7.641033742958699,2.4799450371395286,7.7202247021843275,0.9230769230769232,0.8376859233025978,0.8377257797093584,1.0,199.5069716797621,17.14599632765816,1.0540202877879545,1.0,-0.22031613291724628,rebound,0.75
0.75,1.0,1.0,1.0,1.0,5.75,0.0,5.75,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,5.0,5.0,0.0,1.0,0.0,4.0,41.75,7.0,34.0,12.0,15.0,1.0,13.0,20.75,10.0,10.75,2.0,2.0,2.0,1.0,2.0,1.0,66.0,66.0,0.0675,5.75,5.75,5.75,5.0,52.53780215562158,0.0,4.395493022094144,8.110101730099506,1.0,0.22518804519352678,1.167255806675002,0.0,0.22517319188260648,0.3752199997311653,1.1500847154591365,0.37514142593267624,0.0750300898767334,0.12504506138941507,0.1250425529918626,1.0,7.436609889230174,3.436613234488514,4.058256843436272,1.0,-0.4767527702994525,react-native-background-timer,0.75
0.75,2.0,2.0,2.0,1.0,13.0,1.0,7.0,4.0,1.0,4.0,4.0,0.0,0.0,1.0,6.0,3.0,6.0,9.0,2.0,0.0,0.0,5.0,102.0,15.5,61.5,21.0,36.0,26.0,32.0,46.0,16.5,30.0,4.0,4.0,4.0,2.0,2.0,1.0,60.0,50.0,0.85,11.0,11.0,12.0,7.0,26.54895145439135,3.282158572082488,108.0976893044606,62.41496125238854,1.4141844536200188,5.968803693620434,1.033223827683536,0.041937376368639895,3.146842066455264,13.857913267570636,5.9557436956817,13.926864103843638,0.638661457358309,2.5241123093981908,2.524534861637207,1.0,36.5,31.512621054325745,15.215654725277926,1.0,-0.22289801099410633,android-rss,0.75
0.75,2.0,2.0,2.0,1.0,8.0,0.0,7.0,0.0,2.0,4.0,4.0,0.0,0.0,1.0,7.0,4.0,7.0,10.0,0.0,0.0,0.0,6.5,85.5,17.0,66.0,20.5,43.0,4.0,37.0,48.0,18.0,31.0,4.0,4.0,4.0,1.0,2.0,1.0,58.5,54.5,0.1,11.0,11.0,11.0,7.5,40.42663407780009,9.91027182898905,73.0,20.343195376715798,1.0,3.1688934020246724,1.0001353912040905,0.0,7.0,25.016285797343244,3.4099372275109774,25.016283427954573,0.47577452761416805,1.521622891805273,1.5216401091769853,1.0,98.79884292961879,79.95927779699015,1.8119723827973289,1.0,-0.1869805978110003,logback-kafka-appender,0.75
0.75,1.0,1.0,1.0,1.0,11.0,1.0,10.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,6.0,5.0,6.0,11.75,0.0,0.0,1.0,4.0,99.5,16.0,62.5,21.75,37.0,3.0,30.75,45.75,21.5,24.0,3.0,3.0,3.0,1.0,2.0,1.0,73.0,70.0,0.1,8.0,8.0,8.0,5.75,63.403700169420276,2.658214457193842,49.5,22.712899747599735,1.0,1.463128569339859,1.0002066501365208,0.0,4.4801835495908,9.011226162669079,1.9281222187788047,9.011104304341087,0.1569346856668961,0.36712840581017486,0.36715502595902494,1.0,135.51658990071593,46.21994901216027,28.08273476671945,1.0,-0.14918936453472076,Droppy,0.75
