,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,file_la,file_ld,file_lt,file_age,file_ddev,file_nuc,own,minor,file_ndev,file_ncomm,file_adev,file_nadev,file_avg_nddev,file_avg_nadev,file_avg_ncomm,file_ns,file_exp,file_sexp,file_rexp,file_nd,file_sctr,project,quantile
0.5,2.0,2.0,2.0,1.0,15.5,0.0,11.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,3.0,8.0,8.0,0.0,0.0,0.0,7.5,192.5,19.5,134.0,49.0,68.0,9.0,55.0,90.0,39.5,49.0,6.0,6.0,7.0,4.0,2.0,2.0,70.0,70.0,0.04,19.5,19.5,22.0,15.0,28.348617373808693,22.0,186.58441065504218,26.269141851475265,2.9871832829200167,12.221283104461731,0.6990749235845872,0.2629176973280325,3.0377825960805582,7.161730685752827,12.36951505629403,7.0350468862266275,2.1802079087650155,2.692876731613854,2.455586205981816,1.0,22.115044508888737,20.0690486367895,1.6650986503471077,1.0,-0.1917441092963049,environment-dashboard,0.5
0.5,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,1.0,7.0,7.0,0.0,0.0,0.0,4.0,1.0,5.0,11.0,0.0,0.0,0.0,3.0,57.0,10.0,45.0,15.0,24.0,0.0,21.0,32.0,14.0,17.0,3.0,3.0,3.0,1.0,2.0,1.0,33.0,25.0,0.0,8.0,8.0,9.0,6.0,6.829819420978296,2.0224746091088868,95.593720850737,263.24565832412395,2.0342956522927635,5.0,0.9186634763556472,0.15298486751767726,112.84255576663384,421.9972390396475,5.091822900353446,421.99745167514004,0.3750666686318038,1.6590161507001733,1.65901561701692,1.0,6743.533401886329,6458.703384119738,1.0000031756393553,1.0,-0.009150615314772657,plantuml,0.5
0.5,2.0,2.0,2.0,1.0,11.0,0.5,9.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,7.0,2.0,8.0,11.0,0.0,0.0,0.0,7.0,92.0,16.0,72.5,21.0,42.5,7.0,34.5,52.0,22.0,29.0,5.0,5.0,5.0,1.0,1.0,2.0,61.0,56.0,0.11,16.0,15.0,17.0,8.0,-3.7866382669610275,5.931670164728707,165.34845191230576,100.64969761695588,1.5873004064427783,3.4444224145208144,0.926444984019075,0.5063975578997868,41.18574139525438,74.08476669756769,3.40474861578676,74.08482316985065,2.4872795887711563,4.686573071699842,4.686573210494911,1.0,75.88675334299904,67.52835998290749,1.0292699472197357,1.0,-0.15460810838666822,egads,0.5
0.5,2.0,2.0,2.0,1.0,14.0,1.0,12.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,4.0,5.0,16.0,1.0,0.0,0.0,1.0,105.0,11.0,75.0,29.0,45.0,13.0,33.0,46.0,17.0,29.0,5.0,5.0,6.0,1.0,2.0,2.0,60.0,56.0,0.29,11.0,11.0,12.0,5.0,8.99928504306692,0.0,117.0,114.28946858578674,1.6330182527809707,4.0,0.8740740740740741,1.5553344643789087,0.0,0.0,4.0,0.0,0.0,2.980608186324945,3.081160923275444,1.0,11.0,7.575945864538122,1.0085537219001683,1.0,-0.39468015473867324,dockerfile-maven,0.5
0.5,1.0,1.0,2.0,1.0,8.0,0.0,7.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,5.0,3.0,5.0,5.0,0.0,1.0,0.0,3.0,72.0,13.0,45.0,15.0,26.0,5.0,25.0,39.0,16.0,22.0,3.0,3.0,4.0,1.0,1.0,1.0,48.0,42.0,0.06,9.0,9.0,9.0,5.0,0.0,31.767672626415553,161.26846053786952,0.4398611111111111,1.0,2.0,1.0,0.0,7.328920232143619,18.540359391438336,2.1768250057360286,18.54036156939538,0.4640787902398332,1.2171033367762814,1.2171017876732022,1.0,252.0,93.0,17.685912006129964,1.0,-0.1370581876519217,android-pdfview,0.5
0.5,1.0,1.0,1.0,1.0,7.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,4.0,5.0,0.0,0.0,0.0,3.0,32.0,4.0,20.0,9.0,12.0,3.0,8.0,13.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.01,4.0,4.0,4.0,4.0,-37.25599674589348,7.502755651231073,117.41755862830827,36.82790797151104,2.3583750484664097,2.511965118110674,0.9869253170120987,0.46032964546920724,5.926770468690775,6.097376488375826,2.4208552777835375,6.0988960559918635,0.7132675032659419,0.6180343524817559,0.6180102345948473,1.0,128.84968852917387,16.908669608605265,1.0046528575169014,1.0,-0.23367058668821106,rebound,0.5
0.5,1.0,1.0,1.0,1.0,4.5,0.0,4.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,22.5,5.0,17.5,8.5,8.0,0.0,5.0,10.0,6.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,46.80807188835783,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.999853800457083,2.99985448900674,3.091959032468948,1.0,-0.5175858702101857,react-native-background-timer,0.5
0.5,1.0,1.0,1.0,1.0,8.0,0.0,6.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,4.0,5.0,1.0,0.0,0.0,3.0,56.0,10.0,34.0,12.0,17.0,14.0,15.0,23.0,10.0,12.0,2.0,2.0,2.0,1.0,1.0,1.0,19.0,0.0,0.59,7.0,7.0,7.0,5.0,6.720739770870136,3.2416905311023334,56.9114029578209,62.249760754741985,1.0,2.3213487511398885,0.987012987012987,0.0,2.7929345726845813,11.77351953606147,3.0,11.757003350428743,0.5449068404026298,2.2495428609690453,2.248721182320634,1.0,24.63278496827174,22.722595798370023,5.512049787971947,1.0,-0.29329096135646265,android-rss,0.5
0.5,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,37.0,7.0,27.0,11.0,13.0,1.0,13.0,19.0,9.0,10.0,2.0,2.0,2.0,1.0,1.0,1.0,33.0,25.0,0.01,4.0,4.0,4.0,3.0,12.0,5.58220643554372,32.09772186631279,4.532175925925926,1.0,2.0,1.0,0.0,6.455793619158809,25.01608708838503,2.2193995994224878,25.016079049028225,0.3977648236795066,1.5212765394632533,1.5212754762451761,1.0,93.31355904574944,75.36094293222007,1.6567165902169667,1.0,-0.223829009470876,logback-kafka-appender,0.5
0.5,1.0,1.0,1.0,1.0,9.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,44.5,8.5,33.5,12.0,20.0,3.0,17.5,25.0,11.0,12.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.07,5.0,5.0,5.0,3.0,48.0,1.7544383578561105,3.7846176269335308,11.436947198921736,1.0,0.7896817578461537,1.0,0.0,3.9708959109072763,8.979108377995722,1.4432355363895875,8.978420221585196,0.0,0.019897579250162667,0.019915200239957853,1.0,117.52810478513015,38.0,25.63932137369501,1.0,-0.17625448782577338,Droppy,0.5
