,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,file_la,file_ld,file_lt,file_age,file_ddev,file_nuc,own,minor,file_ndev,file_ncomm,file_adev,file_nadev,file_avg_nddev,file_avg_nadev,file_avg_ncomm,file_ns,file_exp,file_sexp,file_rexp,file_nd,file_sctr,project,quantile
0.25,1.0,1.0,1.0,1.0,7.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.25,3.25,0.0,0.0,0.0,3.25,50.5,6.25,33.0,12.25,18.25,0.0,13.25,21.25,10.0,12.25,2.25,2.25,3.0,1.0,2.0,1.25,33.0,33.0,0.0,6.25,6.25,10.0,4.25,1.0,-9.300904693196653,84.40470879146345,3.0311718749999996,0.8567779530466925,4.0,0.5451125842729823,0.15852378248669038,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,6.447629057425821,7.394388123523877,1.5197051331981475,1.0,-0.48992647769534287,environment-dashboard,0.25
0.25,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,2.0,29.0,5.0,22.0,8.0,11.0,0.0,10.0,15.0,7.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,1.0,1.0,71.0,212.07338893245492,2.0,4.8121925711749665,0.8888888888888888,0.0,0.0,0.0,4.988402612741549,0.0,0.0,0.0,0.0,1.0,6251.851439352022,6183.747673080972,0.9891073893243887,1.0,-0.017765484898959728,plantuml,0.25
0.25,1.0,1.0,1.0,1.0,7.0,0.0,6.25,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,47.5,6.0,37.0,14.0,20.25,4.0,18.0,27.0,13.0,14.25,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.07,7.0,7.0,7.0,4.0,-70.5234810438285,1.0,151.9231579474199,27.294421296296296,1.5033396148327405,3.0,0.9022587686869384,0.378555344899288,37.103083718483106,74.08422686797105,3.1790168199050344,74.08415461835814,2.218608575946443,4.686414230003827,4.686405325615038,1.0,73.36478447342563,66.59995845720069,1.0132270610111962,1.0,-0.20159983936887313,egads,0.25
0.25,1.0,1.0,1.0,1.0,9.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,5.0,0.0,0.0,0.0,1.0,57.0,9.0,38.0,17.0,23.0,1.0,20.0,25.0,10.0,14.0,2.0,2.0,2.0,1.0,1.0,1.0,50.0,30.0,0.01,6.0,6.0,6.0,2.0,-2.9461089104066502,-25.445579772309138,63.0,114.27147946141253,1.0,2.0,0.7124463519313304,1.0,-1.7372423100058803,-20.56301988351988,2.2922191830119423,-20.60109099610162,-0.8906516015183761,0.0,0.0,1.0,1.0,1.0,1.0009398344934053,1.0,-0.5307848808854536,dockerfile-maven,0.25
0.25,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,27.0,3.0,18.0,8.0,8.0,0.0,6.0,12.0,7.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,-113.59543667526762,0.0,80.0,0.0,1.0,1.866769040911744,0.9866054422129784,0.0,5.0,15.0,2.0,15.0,0.3281749854852376,1.0,1.0,1.0,235.44110874039757,75.0,1.3614019383525258,1.0,-0.19310563758444366,android-pdfview,0.25
0.25,1.0,1.0,1.0,1.0,4.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,14.0,1.0,9.0,3.0,3.0,0.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,-83.41355395614542,3.0,114.54436704646079,16.076944444444443,1.9422734944462317,2.0,0.9804215581006251,0.0,4.300745226764653,4.239812064619378,2.0,4.150409686566782,0.5567674098994003,0.4798425960651086,0.47976840229060813,1.0,121.44129665065097,16.380143838126127,0.9400511825085404,1.0,-0.3121977209843042,rebound,0.25
0.25,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,1.5,0.0,0.0,0.0,1.5,10.25,0.25,9.75,0.25,5.0,0.0,2.0,3.5,1.5,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.25,2.25,2.25,1.5,34.522258256683294,0.0,-23.93404413744627,-49.99423123260727,1.0,-1.388287216496162,0.9728634577363691,0.0,-1.3883330257117112,-2.3140986246078397,0.07434867271994353,-2.3143409551835266,-0.4628665240049237,-0.7714556133269422,-0.7714633495117089,1.0,5.936548406685198,1.9365491470842864,2.9353474468014396,1.0,-0.5483387440817793,react-native-background-timer,0.25
0.25,1.0,1.0,1.0,1.0,5.0,0.0,3.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,28.0,5.0,13.0,5.0,6.5,9.0,5.0,9.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.26,3.0,3.0,3.0,3.0,-5.080380410973814,3.22265258893841,35.371810334489766,43.20331018518518,0.8837007199098317,0.0,0.8194910646998584,-0.04445344788335347,2.0685180875782785,9.02304044384874,1.0,8.849633703531573,0.4474824501082342,1.9423070156806501,1.9410459601497911,1.0,18.581195371485016,18.749040557118228,1.1359913620818056,1.0,-0.4236696225205209,android-rss,0.25
0.25,1.0,1.0,1.0,1.0,4.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,14.0,2.0,10.5,4.0,5.0,0.0,4.0,7.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.4790818919670805,0.5,23.3264835904886,0.2178703703703704,1.0,1.2620972969995845,1.0,-0.01698396170799458,3.0,13.5,1.7728600730378932,13.5,0.25187404912540295,0.9705882352941176,0.9705882352941176,1.0,64.5,55.5,1.3216703028317411,1.0,-0.28941809702536736,logback-kafka-appender,0.25
0.25,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,2.25,3.0,0.0,0.0,0.0,2.0,30.25,3.0,24.0,6.0,12.25,0.25,9.0,14.5,5.0,8.25,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.25,42.95111571364209,0.0,0.0,0.0,1.0,0.12071519179298223,1.0,-0.01533245325973693,0.0,0.0,1.0423778323741943,0.0,0.0,0.0,0.0,1.0,96.18909376666366,27.302547264506316,1.0988550257931733,1.0,-0.2534724827444772,Droppy,0.25
