precision,recall,pf,f1,g,auc
0.55,0.265,0.16,0.33,0.3,0.5437151068269458
0.56,0.51,0.29,0.47,0.5,0.5905427247069159
0.505,0.17,0.125,0.24,0.2,0.5196046927765521
0.6,0.21,0.08499999999999999,0.31,0.25,0.5491956562104822
0.6,0.405,0.225,0.445,0.45,0.5716470381753445
0.65,0.235,0.09,0.33,0.275,0.5582943494208484
0.59,0.46499999999999997,0.2,0.475,0.49,0.58822910208844
0.57,0.605,0.365,0.57,0.61,0.6288168019706251
0.58,0.395,0.2,0.44,0.44,0.5810353292471471
0.58,0.475,0.28,0.49,0.485,0.5912878787878788
0.63,0.275,0.11,0.35,0.32,0.5768252134716892
0.53,0.77,0.575,0.61,0.5700000000000001,0.593442441290712
0.535,0.33,0.195,0.365,0.365,0.5324774773515937
0.535,0.59,0.41,0.525,0.555,0.569836645097135
0.52,0.635,0.45,0.53,0.58,0.5851266514145287
0.495,0.365,0.28500000000000003,0.405,0.4,0.5298085590777021
0.58,0.4,0.19,0.415,0.435,0.5668244366588587
0.54,0.665,0.485,0.55,0.58,0.5836747615253282
0.54,0.5,0.29,0.53,0.52,0.5994044294614533
0.53,0.27,0.2,0.34,0.31,0.530171843616716
0.575,0.52,0.295,0.5,0.525,0.5909733818187979
0.53,0.78,0.55,0.62,0.64,0.6125432579313388
0.485,0.815,0.675,0.5700000000000001,0.555,0.5496862243900071
0.53,0.675,0.525,0.575,0.57,0.5686776364044219
0.57,0.62,0.34,0.56,0.59,0.6158831549650827
0.56,0.665,0.415,0.585,0.61,0.6036655471741346
0.49,0.26,0.22,0.325,0.3,0.5162041428709307
0.565,0.495,0.28500000000000003,0.5,0.505,0.5852662888949554
0.54,0.62,0.405,0.545,0.55,0.5951887464387464
0.58,0.6,0.365,0.53,0.58,0.606329803737583
0.515,0.82,0.67,0.62,0.605,0.5774169809605572
0.58,0.545,0.3,0.535,0.55,0.6171330639395627
0.46,0.095,0.09,0.15,0.11499999999999999,0.5052491093015934
0.6,0.23,0.11,0.31,0.27,0.5504138126781002
0.575,0.165,0.09,0.24,0.195,0.5347696317228527
0.58,0.26,0.14,0.35,0.3,0.5441298643207542
0.75,0.05,0.01,0.09,0.06,0.5159477427334571
0.59,0.45,0.25,0.48,0.495,0.6053157492545672
0.5,0.845,0.68,0.595,0.575,0.5680284992784992
0.5,0.64,0.525,0.565,0.58,0.572533855692805
0.58,0.19,0.09,0.28,0.23,0.534150148263099
0.67,0.02,0.01,0.05,0.02,0.5059985476696842
0.57,0.67,0.395,0.58,0.6,0.6242445781487194
0.5,0.57,0.4,0.5,0.53,0.554501679840971
0.635,0.31,0.14500000000000002,0.375,0.345,0.5621139260723894
0.6,0.46499999999999997,0.255,0.46,0.48,0.5935554714048088
0.68,0.14,0.04,0.22,0.16999999999999998,0.5383442997996226
0.6,0.5,0.28,0.51,0.52,0.6043928679678281
0.51,0.355,0.31,0.385,0.385,0.5256315520227175
0.57,0.62,0.37,0.58,0.59,0.6200971646535511
0.51,0.35,0.28,0.4,0.39,0.5372104324312377
0.55,0.49,0.34,0.505,0.5,0.587939837939838
0.67,0.03,0.01,0.055,0.04,0.5085993317688933
0.565,0.45,0.26,0.49,0.46499999999999997,0.5844140678594134
0.77,0.07,0.01,0.13,0.09,0.5218191836866065
0.43,0.225,0.21,0.28,0.26,0.5030550998342026
0.555,0.545,0.37,0.53,0.55,0.5875434333461945
0.55,0.45,0.33,0.48,0.48,0.5705108359133128
0.525,0.45,0.315,0.435,0.48,0.5548886867945042
0.545,0.47,0.28,0.47,0.48,0.563115197303076
