precision,recall,pf,f1,g,auc
0.56,0.515,0.325,0.51,0.525,0.5825209301453065
0.56,0.445,0.29,0.485,0.475,0.5842193356773304
0.57,0.635,0.42,0.57,0.6,0.6005112057564861
0.615,0.47,0.235,0.52,0.51,0.6098267215515472
0.53,0.43,0.3,0.425,0.435,0.5547835003024254
0.58,0.435,0.275,0.475,0.46,0.5767981850274355
0.585,0.475,0.25,0.51,0.495,0.5917291049193445
0.58,0.52,0.3,0.51,0.515,0.6023573396049915
0.54,0.29,0.185,0.36,0.33,0.5391863598089068
0.59,0.56,0.29000000000000004,0.52,0.56,0.606916282278464
0.49,0.46,0.38,0.42,0.48,0.5362814755780396
0.62,0.475,0.245,0.48,0.49,0.5915598538366396
0.595,0.46499999999999997,0.21,0.475,0.49,0.5964024132143346
0.59,0.72,0.42,0.615,0.66,0.6294177061800944
0.525,0.34,0.21000000000000002,0.39,0.385,0.5495501282704862
0.57,0.345,0.17,0.39,0.385,0.5707878378942082
0.575,0.595,0.32,0.57,0.58,0.6083491081263711
0.58,0.54,0.29,0.525,0.54,0.6132717190016912
0.53,0.56,0.375,0.5,0.525,0.5765696195723167
0.62,0.32,0.13,0.415,0.365,0.5753061263358068
0.69,0.11499999999999999,0.04,0.2,0.14,0.5363652622463195
0.44,0.25,0.25,0.265,0.27,0.49932325088308505
0.495,0.39,0.315,0.395,0.38,0.5323141928745105
0.57,0.06,0.035,0.1,0.07,0.5092077377417495
0.605,0.47,0.23,0.53,0.49,0.6084419052568195
0.61,0.415,0.195,0.46499999999999997,0.445,0.5952778031519415
0.565,0.67,0.45,0.58,0.58,0.6053275119037349
0.62,0.28,0.11,0.37,0.32,0.5658809909058171
0.575,0.63,0.375,0.56,0.62,0.6320133138387614
0.71,0.09,0.02,0.16,0.11,0.5304357707811753
0.5,0.11,0.09,0.18,0.13,0.510131533115846
0.47,0.95,0.845,0.63,0.47,0.5419432891461567
0.51,0.15,0.12,0.23,0.18,0.5176883132232586
0.53,0.07,0.03,0.11499999999999999,0.09,0.5115144428395082
0.605,0.47,0.23,0.49,0.495,0.5927846636699114
0.52,0.63,0.4,0.525,0.57,0.589394227346439
0.58,0.4,0.22,0.455,0.435,0.5730401336564588
0.74,0.125,0.025,0.21,0.155,0.5361852662448467
0.53,0.705,0.47,0.565,0.6,0.5894410802752198
0.47,0.235,0.185,0.29,0.275,0.5132103402227686
0.585,0.225,0.135,0.315,0.265,0.5384560173293289
0.55,0.71,0.44,0.6,0.64,0.6115657632361313
0.6,0.36,0.175,0.425,0.4,0.5876730408880437
0.595,0.665,0.35,0.575,0.625,0.633916079243023
0.62,0.21,0.09,0.3,0.25,0.5443298778403998
0.53,0.615,0.44,0.525,0.55,0.5861002657559038
0.555,0.71,0.43,0.59,0.63,0.6311543367346938
0.48,0.99,0.915,0.635,0.315,0.5295405105805564
0.52,0.6,0.43,0.52,0.565,0.5704767970964411
0.475,0.605,0.56,0.505,0.53,0.5225457730926268
0.55,0.48,0.29,0.46,0.47,0.5717218578798344
0.515,0.535,0.44,0.5,0.5,0.5441702406277189
0.43,0.93,0.97,0.585,0.13,0.4872267397758334
0.5,0.43,0.34,0.44,0.45,0.5292238211626447
0.495,0.535,0.4,0.49,0.54,0.5789535214703969
0.51,0.74,0.605,0.58,0.585,0.5828556649560128
0.53,0.84,0.63,0.63,0.61,0.5918444389534085
