,ActionBarSherlock,Android-ObservableScrollView,Android-Orma,AndroidAsync,BiglyBT,DaggerMock,Digital,Discord4J,Easer,EclipseCodeFormatter,Elephant,FreeBuilder,Grammar-Kit,Hystrix,JSONassert,MaterialScrollBar,Much-Assembly-Required,OpenRefine,RustDT,RxJavaFX,SoLoader,SpringCloud,Sudachi,SuperListview,Telegram,Telegram-FOSS,TrebleShot,UpdateChecker,amidst,android-ago,android-test,android-transcoder,androidannotations,app-icon,arara,archaius,blueflood,cassandra-lucene-index,chunky,clean-status-bar,couchdb-lucene,cyclops-integration,dcevm,derive4j,digdag,disruptor,dns66,docker-compose-rule,dropwizard,druid,easygcm,eo,facebook-android-sdk,fdb-record-layer,fragmentargs,freeline,getdown,graphicsfuzz,guice,heroic,hollow,iceberg,intellij-elixir,intellij-plugin-save-actions,ion-java,jBrowserDriver,java-object-diff,jboss-eap-quickstarts,jedis,jsoup,jsweet,kafkahq,loklak_wok_android,macrobase,manifold,material-remixer-android,metacat,metrics,moditect,nakadi,nokogiri,nzbhydra2,openrouteservice,opsu,org.alloytools.alloy,pacbot,parquet-mr,pebble,pgjdbc-ng,phoenicis,phpinspectionsea,picasso,pojobuilder,polyglot,postgres-async-driver,progressbar,project-rome,qbit,qpython,rapidoid,react-native-background-job,react-native-dialogs,react-native-screens,react-native-sensitive-info,roboguice,rxjava-jdbc,s3proxy,scoop,signal-cli,sofa-tracer,spectator,spring-javaformat,springside4,sqlite-android,subclipse,swipe-button,thingsboard,tikxml,truetime-android,uhabits,vulnerability-assessment-tool
ActionBarSherlock,-0.0003990490299647931,0.12526900452139067,0.14587401260742516,0.06020946865987864,0.213376764092704,0.34020742028769435,0.09845359340985016,0.14530069204020912,0.19068577043333645,0.08813609351907814,0.13886827517525424,0.08513740619252042,0.08875582634806778,0.08804519001256372,0.19889751620914065,0.14975936591088046,0.09631524871278807,0.12868535664401426,0.08759914043720085,0.176852298534799,0.18943325677358602,0.23938095235816392,0.16890324900240983,0.3311426168613374,0.21044437562701435,0.15563254137020355,0.08018833671354975,0.20139493831626054,0.12024266175939424,0.383774917431736,0.5708872529593358,0.24422364362066773,0.12961011016749624,0.7034747567354046,0.21388560008143487,0.21701652416127704,0.10236317556279817,0.10687978808174559,0.16794591234151224,0.29799279010885904,0.06787811499519769,0.21925500065314174,0.34610497595569434,0.3193970805996147,0.09335923576102656,0.1460310582671528,0.152346424119997,0.19007237516206188,0.23197454891711466,0.4308517586630912,0.23175035572962743,0.3120957020284547,0.08616442559457171,0.19250582412740114,0.43579383801388594,0.1853498095333811,0.15747330072756915,0.07321799660634831,0.11542558571545636,0.09751192310346335,0.082801008520483,0.13829028852778846,0.17842817311534298,0.1329404977777151,0.21390398224824347,0.09775019415373276,0.11016462526539306,0.17835349412936996,0.08909042674481382,0.0863530561426219,0.08859205817013271,0.15527406130761812,0.1113595985185587,0.10072170597592656,0.21998326513807476,0.1619260580425892,0.15597289515907098,0.1458556798980809,0.3601816878969215,0.1828495015031899,0.12654283973403657,0.20424344428666885,0.09628139493036858,0.12767272384974326,0.30654703518353954,0.2090756196582625,0.1065589413181478,0.07415062138276929,0.08207325925099196,0.21681678458932574,0.1814851235705207,0.13556666823493435,0.15403223011273381,0.24330023930628586,0.21317333875790434,0.31390080156431655,0.3876460663528001,0.13505422515506593,0.24849208453228744,0.0936897638340064,0.21736518662049287,0.24852396958442813,0.20806195234074554,0.20646965384194693,0.21102250849130144,0.104223239069969,0.17409176666045956,0.3315527254954713,0.12785372314839283,0.17485778950308972,0.128965147372068,0.24644546145246238,0.10623260007677282,0.31472730346229494,0.10904228659933524,0.1998018253946663,0.21911042931147628,0.1963003790506268,0.16630582357771806,0.14748276174770691,0.17908448315516023
Android-ObservableScrollView,0.1252690045213909,-0.0019235181299588344,0.14052871139009981,0.12479241197963686,0.2383664677015639,0.23298696226630589,0.15733303056900305,0.19177980843889475,0.19203689628082998,0.08975618199023483,0.14716642062503837,0.15111660558077977,0.14267909971804382,0.14327951323652466,0.12852208121122832,0.10306497415800164,0.10771786325402866,0.24408309788611904,0.1922718812392591,0.1367349060876889,0.11653354286143902,0.16171767555066385,0.11727588471584671,0.27182012600720373,0.24315960983127527,0.21952411197045574,0.12913085703122051,0.16963437581523488,0.16487239869595804,0.28496498835439477,0.5226752639884877,0.13521144534133656,0.18776401951453303,0.6203728618855545,0.15936092977600325,0.16150384967479925,0.10613445305542357,0.13892004289933946,0.22545548757047218,0.1655967492056989,0.09561102175943614,0.29830763953767014,0.29775633236765475,0.21209914952629172,0.16915590240295397,0.10396521108435597,0.07922810504383815,0.10001424970163186,0.27203585751984316,0.41086112297772037,0.15531619538883756,0.2784902151936475,0.12189767063621604,0.186144131276877,0.3502865773470385,0.14836020157198548,0.13548158924368348,0.15685734306368093,0.20940964861480715,0.16118749857465575,0.16518455821531297,0.1687072487220339,0.25562640663093417,0.09386764848836826,0.21048103947717767,0.1276981793866767,0.07556715436074568,0.16978091733642298,0.08994598099042994,0.15896028390653394,0.17815641975902063,0.10381199650237849,0.08319300687239461,0.14273086516582667,0.22375380163495295,0.12724501423878076,0.176200748959203,0.17704156908483293,0.3185169683138729,0.16546160880108318,0.1713171209219585,0.2515733313979883,0.14351677983809974,0.20505827382919162,0.43544917982879305,0.30368961945822726,0.16672959195699455,0.12000407463693297,0.1763670650904322,0.26193863306855425,0.21030405904151828,0.0714297038117444,0.14491484988561598,0.17195381300091805,0.15720807409661253,0.2300625019309822,0.3251784988760542,0.20067221166494642,0.3361921355571449,0.2186598514919179,0.146983124818165,0.21157489230446958,0.11980458215168488,0.18700133020468857,0.2458572912981316,0.10105903285161866,0.1353280096546181,0.2149929819741846,0.11373510958829336,0.17075341121692122,0.11388381952088855,0.1606600162081262,0.19886004156186865,0.26098341341468023,0.10813503307028405,0.14429242724379376,0.28946885377637654,0.16103155093323585,0.1474988899293116,0.1773327324197388,0.17941224495403973
Android-Orma,0.14587401260742616,0.14052871139009981,-0.0004967398448156857,0.13712383092784353,0.2830411093243045,0.3311491340494428,0.18876012619016358,0.1865356494102398,0.09088972796481365,0.1016693649985656,0.12468358725101059,0.1358517220504767,0.14609981135352412,0.19300944194851,0.1805697810847111,0.16233694413437916,0.14359243240531094,0.23449199129177767,0.19209465890914457,0.1276625825835841,0.14007936108761032,0.11206739041352354,0.07129704049060737,0.31007909262451006,0.2893665780697915,0.2401539554186225,0.1631142055574939,0.2215345140987548,0.16342060652042079,0.3526267293233616,0.6013785030904248,0.16690597200578572,0.17976629000491684,0.6951772721368884,0.1278059366056935,0.15484018959850765,0.13431222218879524,0.15438445795138078,0.12762734856239633,0.24208183781142112,0.11631881597880778,0.11563815216382378,0.3325195144421803,0.20341225043135358,0.1512357173967449,0.1555965126614769,0.1598334992070204,0.12754449029433912,0.2679830459635941,0.514363960102308,0.20616802519476918,0.24437635947254088,0.1287130303019558,0.127940622488797,0.4232682508373369,0.12087825511051009,0.09747405638376982,0.149175506096616,0.17813259261277903,0.13854460874180596,0.14095967191086567,0.06526330444813233,0.27547698696289347,0.12177911112710094,0.24542227852905762,0.15666349968679028,0.11035538298545033,0.19993721284509214,0.11962193536167443,0.16243188920911522,0.17821631044837893,0.1917708606747569,0.13675451340549738,0.1442441799745997,0.10911752368460981,0.18132657041293332,0.2054175357487813,0.14955776202053883,0.3223698479041702,0.19553444977792778,0.18725353827925562,0.11057629377983835,0.1609477257841433,0.20108892261882405,0.3799192321109215,0.3218083314258272,0.17846792347182183,0.11895749527013377,0.16769928955219437,0.2171951644104262,0.3207229901577766,0.1143474747159573,0.07548106415417011,0.13519460089012558,0.11786602036027849,0.26095208191388963,0.36925994410506735,0.21223887720389856,0.2951747244767191,0.2213939043572699,0.22904600579223233,0.2794592192459511,0.21374460905636206,0.22052160537715348,0.26519868241679023,0.13770289399902247,0.172119516343184,0.27936277340673976,0.16370877368169823,0.09698670328476178,0.14013272485889527,0.14320554852967649,0.19688824083815215,0.27806705233518925,0.145713740177557,0.24397304344779913,0.1464938506724801,0.11575426738233086,0.22130694503486226,0.11475561091221576,0.20571314709563582
AndroidAsync,0.06020946865987842,0.12479241197963564,0.13712383092784053,-0.00036296532860302655,0.21827322748125944,0.35068864637455877,0.07339897108653337,0.1081103335379976,0.1729230165033505,0.07626667382980135,0.13754903560131593,0.07901484205567089,0.06783064819465434,0.11736085917484018,0.18186397446340052,0.17199556325536502,0.06197077337092427,0.11636166524755776,0.09333899411303903,0.18106674174966453,0.1864029443071743,0.2297785277039488,0.13821529782310082,0.33425544809910346,0.20343788775915017,0.15242639939319325,0.05558349114241212,0.20742659059423996,0.0840868404381715,0.3860578952746482,0.5867640379723031,0.22750077523766732,0.1286052126215642,0.7123947674808705,0.19628230778196232,0.20600970276066122,0.07423567315381385,0.10270711000422927,0.17785545658818547,0.2871652786920079,0.045908794279999166,0.2042863217621811,0.3500460398215427,0.30514518333359897,0.0629337725861755,0.08807088575982103,0.15128127187455775,0.13505767966318372,0.2105571093035149,0.41503245740913197,0.24430294642524497,0.28674441522139893,0.07002302415446526,0.1719368193302745,0.42646630840541355,0.17012658555426752,0.1422386665938068,0.08056066391886874,0.10918293194255635,0.06996932750364881,0.05545398025026915,0.11906268993361735,0.14283312340265297,0.1281221307283884,0.23565123257839227,0.054885747683905195,0.07873286169541915,0.16024808485833208,0.07374978853282532,0.07932989646254773,0.07852592135635772,0.16214078486126893,0.08739578781330726,0.08171426849970109,0.21273084454005897,0.1442915745414286,0.140314576999228,0.0883025653385634,0.36608157831413835,0.12084111007319742,0.1661280716933191,0.17118942856054153,0.08377427462510867,0.07195741648172638,0.30977640871875933,0.17076766832840173,0.09593236547526218,0.0516211606166338,0.06713207957095124,0.1906953603657504,0.24188689452703238,0.11360982964333188,0.15382535364109717,0.20362014459721356,0.19977015178668267,0.28266675817470366,0.4042036042047358,0.089579295545551,0.2598037416582917,0.09452725081618385,0.21229602469287145,0.2824253086862374,0.2111922866379572,0.21728972873584984,0.17999743464923545,0.08971979392312923,0.17523078205255793,0.3335793972505191,0.09264420773815663,0.15201548633823114,0.0946900461776713,0.23712526852256632,0.09371486702761345,0.32778228747535854,0.08673573922651057,0.23015145843220575,0.20675002773445794,0.18183025987700807,0.19018574053766069,0.16953818006096655,0.17052965357629934
BiglyBT,0.2133767640927028,0.2383664677015639,0.2830411093243054,0.21827322748125977,-7.424159608293568e-05,0.22866771747944714,0.264931009186655,0.21717455512174544,0.3490970562377028,0.20479375680564538,0.21974795380281842,0.2170401244656176,0.18840632917369782,0.24477838207347102,0.20190253229724098,0.174075093964715,0.1719444539318793,0.28193339081024316,0.22209698313617343,0.24666661439635174,0.25980729060750285,0.2852815365843091,0.2640998229825745,0.31266408502936416,0.1840076151280743,0.1763265287216027,0.20579667095175036,0.26952634013975574,0.24988016111737232,0.3793351711168359,0.35129227620897663,0.29633694214511164,0.2700463096491533,0.5747636717800519,0.23794062599358368,0.24836626877361734,0.212760414113487,0.18815030459377036,0.24168801301767395,0.3609548354126191,0.19839918902480524,0.3185059442083419,0.20757134343400296,0.35230429847359823,0.23534569727542254,0.28654112831557577,0.2369548053445557,0.28197616158055927,0.32292146784391695,0.3621371685599776,0.2883075526537122,0.36035463885120544,0.1880785319997682,0.27937900111503733,0.4478382586732089,0.24244400512836894,0.2827001870326451,0.22979116902641794,0.2675941154206448,0.1701015192351104,0.27673457691010717,0.27420581675848743,0.2287848045783747,0.20653266421939842,0.20615238921293544,0.20585092213693512,0.17890076722464976,0.15788402680845504,0.20390298126241968,0.14748057707090834,0.17033584497259746,0.2208760904179875,0.16513699701996176,0.20595709988600497,0.31863371892532477,0.20557115891834965,0.15001668123028833,0.27531154650050926,0.3282280799299693,0.2801235546322961,0.28908686888332524,0.3339708076614799,0.13872783867732597,0.265971789889361,0.43029983194986365,0.34891108800453774,0.2328981161768402,0.18576619025210261,0.22008329515543534,0.38008137925135466,0.34401634728175834,0.22298891118898756,0.27410237567949003,0.3114261026997821,0.27538260562349715,0.2745922405937562,0.35622611151872163,0.231812256009177,0.41136622609124196,0.27046896274874743,0.2175145602999119,0.2625053610639736,0.26003455294660616,0.12870088000938174,0.30159495965341243,0.1731904865811048,0.2557530662765255,0.3014060529414567,0.19045834910380943,0.2703896244283953,0.2324179410698537,0.2840867878601332,0.18136660217500977,0.3004457709858642,0.18602384169661568,0.2518895134186512,0.34117835847579525,0.26855002993432386,0.18395632256294747,0.3033205833061928,0.047990960498770385
DaggerMock,0.34020742028769435,0.23298696226630622,0.3311491340494429,0.350688646374559,0.22866771747944714,-0.003836819127307045,0.4017266058328932,0.40468932208896846,0.39681306096245783,0.271709736314539,0.3261412142415271,0.32902523918754134,0.34130506974189445,0.37078947330139755,0.21423054123405505,0.17035185728028412,0.28992756051168345,0.47135664175936254,0.3805938867782901,0.23590309687954591,0.2182486680610327,0.23211266493369598,0.28543794792765464,0.27690156429092305,0.34183891181926906,0.35192059848882784,0.34020064411489903,0.2583586475352685,0.40269935585251593,0.24244025524955903,0.2514599511106981,0.20657426035106863,0.4228817218199855,0.45581044225350864,0.23351951594202047,0.25633554847599027,0.34186444243476677,0.3191255456298091,0.36088309839404087,0.21521083439199784,0.28167478634233667,0.45363761767454247,0.1993870670697886,0.259091538271059,0.3533974603691611,0.33057071550901374,0.18460915902937136,0.253758376779041,0.4551796346416075,0.49240383476079896,0.224245733365248,0.3875913207542673,0.31775733069409573,0.3520790684587387,0.333495691557375,0.2613838153432452,0.3131277875387989,0.3629187719106036,0.4232253422045287,0.30428457871314973,0.4164890219731596,0.36995059753904247,0.4307626936215344,0.2256367456003352,0.23947147891888731,0.3569893751680646,0.23108203293517016,0.2539751857944733,0.2886163771539515,0.30359785494223923,0.3500515622082193,0.20447141318800954,0.25646497832265447,0.3398525785965656,0.38821329295435836,0.25241770216319737,0.28700805045006506,0.40165996978049345,0.3484520446467593,0.4142243219717776,0.3844742805373611,0.44794841710212574,0.2895540643494583,0.4237097800260249,0.6024855522676064,0.44909332226028975,0.3813696448842451,0.31579644981371,0.38030056222079933,0.4759835759264486,0.43007465503061215,0.24739688638455648,0.3160738332110504,0.2633088790178385,0.26785077926008327,0.24338231961398582,0.22400276027704424,0.4168726607054386,0.5296008047561921,0.4536285867142489,0.21524518318777708,0.2421866444293871,0.18897289787225424,0.1806381410195782,0.4584738918197826,0.23013725647811922,0.24535194636085422,0.23404650698381413,0.2481920379833864,0.31682576075137403,0.3269255166090502,0.24793967463498345,0.3656604941364151,0.2744423724286472,0.30411521961734733,0.1925134414949904,0.4810627395653324,0.31635935502584467,0.20904261455330564,0.4011373590148968,0.17937696244418144
Digital,0.0984535934098496,0.15733303056900305,0.18876012619016413,0.07339897108653093,0.2649310091866508,0.40172660583289255,-0.00012547766809656302,0.12172323321583556,0.2561872029868909,0.13442122473283935,0.19227568162181663,0.12155294204772538,0.11246589972925614,0.08936868347315108,0.24466032585777708,0.23526580952759613,0.11739827232770195,0.077587066220548,0.170961194801989,0.2645852140015704,0.25076136356546286,0.28535544168203686,0.22512036682848746,0.42177054984787254,0.20168095029277322,0.1445991344411629,0.08528666203827273,0.2837245538301081,0.09724164243659705,0.45900683607821857,0.6399993980323878,0.30302162708157954,0.11472310476410286,0.7618048002085462,0.2544075628425677,0.28648772996765437,0.10518925605639251,0.11487697999842517,0.2608869406810419,0.35766276277523434,0.1224393005550306,0.25881124070724437,0.4055845765717292,0.3712906257725037,0.10784050855298,0.11148316305465988,0.19671759707114733,0.2121483028037855,0.22988125734779796,0.438227204992477,0.32476866515608527,0.3880626634693777,0.101919371935001,0.25480179022408367,0.4911575591399069,0.2558145567623359,0.2163649072967394,0.11000156922390225,0.11752678979272035,0.11994754560353482,0.06870493519392284,0.19893200212178885,0.17057464574648984,0.19672451833914806,0.3130285868262671,0.07364495156285422,0.13559992944468813,0.17656643832813013,0.1042418168317778,0.13039213637312963,0.08792125253473615,0.2198603293025837,0.14311418560327782,0.08860967416383958,0.2884248068312353,0.22294105589193458,0.1668558904249161,0.1673774406932661,0.38834591471815816,0.12212808754627313,0.2158027977043082,0.24158646759262148,0.106785623674017,0.1426122395113466,0.3286954724434129,0.21847309089684808,0.0896288696319143,0.07828029196943698,0.08048111968989635,0.23398095413600073,0.26301139360234727,0.15493642095976434,0.2155406520128047,0.29415152216026186,0.278573103550095,0.3722718742775716,0.45794450192108993,0.08637964587613389,0.2737269553405426,0.10450593153156529,0.2788114469211326,0.35585807331756814,0.2616400816596175,0.283755866306427,0.21114509005262427,0.12408034362440512,0.2241727031020555,0.39452569514052505,0.15157301498933706,0.23405111414106372,0.11477106031769357,0.27542709114072406,0.08955771747471963,0.39571919352160734,0.10844412783842972,0.30550048244765293,0.27436396914563244,0.2315308107062729,0.26575717829730694,0.19269304896121198,0.22827408166339214
Discord4J,0.14530069204020768,0.1917798084388942,0.18653564941023992,0.10811033353799782,0.21717455512174977,0.4046893220889687,0.12172323321583334,-0.000210913377880817,0.25703537605611426,0.14156431872604203,0.17108482887949894,0.12332152167886745,0.10247098014467171,0.1469765942468838,0.1865799366340566,0.23788004397246687,0.11290746459299317,0.11258078652693604,0.1686841108752396,0.24085607457340452,0.23124703005614278,0.3125419353450628,0.19303258259721123,0.38670662876410467,0.13584731138441397,0.08930537131411076,0.08502475373010476,0.2796394600756049,0.06440050383898865,0.44060362163591527,0.6138250028504816,0.3200131531848759,0.10380385563137573,0.7438923622895983,0.2301040796539544,0.2635869951647086,0.06373145284569315,0.08631244865389864,0.2078560862897456,0.37932373417972864,0.15720292319557383,0.22519541491283757,0.4109404211547758,0.3592265804671695,0.13013509539142387,0.17530006934139308,0.2333264951731493,0.20600224371646392,0.1889994911085895,0.46062224246563654,0.3226269922686418,0.3384586814873527,0.0607670134659104,0.20760010931989814,0.4999157222035149,0.2324495813010964,0.2127128573607988,0.12601788333368646,0.10715108066171242,0.08352857358823873,0.09532702082521438,0.184143584181247,0.12197124772634382,0.18359490310207638,0.27550437066547373,0.08314804333540404,0.1258401086116825,0.11809819288080092,0.10522693264165495,0.13036540566775612,0.10348086524818645,0.24683027413163006,0.10144235525833178,0.07258995977177807,0.22913070357082255,0.19740162382527138,0.12084887077293427,0.10527431194715864,0.36979406858435104,0.09257133503053694,0.1955050739390214,0.21312929162932848,0.07229922073950812,0.13449119739832494,0.3416547953289055,0.3019369328646263,0.08382954877302884,0.0814336941605619,0.1129212335344233,0.246750117444146,0.33379195085320945,0.12992384490129105,0.19814577029665403,0.29265001323953466,0.2506836776236855,0.3285311537521951,0.46257021373654006,0.05216981948348687,0.3163227730836342,0.11980819328906356,0.2451857949118884,0.33443346885989134,0.2795087479878482,0.2628072926007513,0.16518867726885167,0.1598053606136688,0.21791114476844087,0.3496477463775679,0.17263614166320917,0.1990791650529291,0.10610028735804355,0.29369378645345334,0.08578172463719802,0.39197265436131556,0.06704584873785469,0.3137544671527306,0.22113943984975737,0.23736249032609857,0.25977761048310355,0.2154458675019082,0.17065819706468344
Easer,0.19068577043333712,0.1920368962808301,0.09088972796481454,0.17292301650335073,0.34909705623770004,0.39681306096245816,0.25618720298689446,0.25703537605611615,-0.00038337516343245337,0.14288133105770373,0.14971904383689139,0.2094933512599858,0.1979401327203939,0.2826975024353029,0.2084482407278746,0.22044263244591833,0.1876711678290739,0.29767401358570333,0.20846274678457866,0.16197095566999087,0.2070051256411236,0.18112526173804744,0.0762285948613709,0.3791049464918481,0.39100531454979803,0.33226356984368755,0.20550633057192746,0.22894816626752124,0.22615479385260506,0.3907434282940804,0.6578650735434509,0.20845623702690952,0.26914054217472294,0.7651441500687154,0.20533889078260126,0.19658931309799266,0.1818822488662637,0.22512679405203628,0.18801571939738226,0.3010038916289054,0.14297760045178443,0.18526826478189262,0.4048585206350631,0.3195401254311774,0.19199089307511574,0.22191928375354653,0.21801082747898337,0.15904331878505817,0.3159229421927304,0.5936552770748574,0.24096120959408474,0.28197209234866816,0.18149189371757124,0.1686583083697516,0.46008108267241854,0.1681649062275612,0.12025483061245745,0.17987995776218546,0.23127252042120883,0.20895550877959612,0.1657588865628019,0.07590381212655961,0.337280379667959,0.1732896830110624,0.3187373436057678,0.18364798228197443,0.16439078100989446,0.28537293759820626,0.15908663270045098,0.2036987147107323,0.2619969606053053,0.2392526544355711,0.18248719664764013,0.19586789651813807,0.18838128487609207,0.22257126848258202,0.2785952942833947,0.21551312869533723,0.41770222615828023,0.2509172318168267,0.2103451345498799,0.12075800974913553,0.2254160564841159,0.26495835051780425,0.37996129914155286,0.4111821548648188,0.23170124335316922,0.1682805628472459,0.23591240117905454,0.183412264578245,0.3656477248277996,0.18017765929672125,0.11585722971423207,0.1679257406721395,0.18986142336374734,0.2967411002694146,0.43195949474854534,0.2800378536831355,0.29612271421753245,0.2708577518554868,0.2625183015369339,0.3178667699855634,0.2694590347091663,0.2724013703696395,0.35767293457107585,0.21033438871771137,0.2501739156100353,0.36886340187528066,0.21563357105965142,0.16657569360339575,0.20492523545142216,0.2373547231825328,0.2798101467187324,0.3198724732877918,0.18082107799311464,0.2903398315449839,0.18670953884605423,0.17758380101985383,0.25414937231493406,0.1445180051761693,0.28694966343935646
EclipseCodeFormatter,0.08813609351907825,0.08975618199023461,0.10166936499856583,0.07626667382980123,0.20479375680564627,0.2717097363145391,0.13442122473283824,0.1415643187260418,0.14288133105770418,-0.0025866905712329524,0.12269900676818124,0.0879430513692584,0.0580032424805359,0.1370947139485027,0.12418623796980177,0.12404166363820379,0.06990503393134273,0.17220941839227044,0.1262722430620552,0.1024126882080787,0.1212568587239996,0.17578675949828804,0.09147451912354065,0.277258967482652,0.23285132994038316,0.18351572152789664,0.10463940981555298,0.14213537046635805,0.13604662784943666,0.3028305851676264,0.5194824474960308,0.16329969515429998,0.1428561442016153,0.6453736497094126,0.13755553011052069,0.15259691913000528,0.06711464408201007,0.10067262434251045,0.14176154084086456,0.21977041800886377,0.05700281676378727,0.17741615341491934,0.29300476704369627,0.23730527358022846,0.10257518168484103,0.09455902367065128,0.11214226748537115,0.09486831034234433,0.20686834155851863,0.4296866420230294,0.16301491890652253,0.21354775071675258,0.06835976585322401,0.1168178489929973,0.36264948620311954,0.10990464604235173,0.08288479215901501,0.06949335071556972,0.12270523269994271,0.09406728719882429,0.0987398878611756,0.10571648543835,0.1871120554833502,0.06845835225530006,0.16707005946009956,0.08466522388617459,0.058179174766553765,0.14212709192966133,0.05404812028541395,0.08837163425052275,0.1357081855386677,0.13026270347590563,0.07654980473162254,0.10359810239483191,0.13804374933349595,0.11844793724720803,0.12794730521231834,0.07834493974178225,0.31891694135093285,0.15808175215317044,0.12881484363287743,0.1444807807947711,0.11338451153451024,0.13533307194690036,0.28632285459271034,0.263552473962558,0.12106145493120013,0.07462504433267103,0.10672415193643148,0.14565770335413186,0.23272695695002965,0.07297493699123347,0.093848437690366,0.1593327642448753,0.13666322559331068,0.23410382474905567,0.33089799891966376,0.15228272678584698,0.19737332800502738,0.15031570453337972,0.15238542822209455,0.203702767401994,0.1518333386353703,0.1573760550789398,0.20531489288964289,0.0846477300375219,0.12526204681543418,0.277393166354133,0.09250469736545952,0.11776950731556368,0.08377275366136028,0.17477385043897742,0.13416783396449528,0.26658546637719793,0.08163495162710999,0.15620231190132827,0.15967178023519668,0.13855416040627,0.1432014917002017,0.15448187936726532,0.15165730605314653
